genus,sampleID,x,y
Elgaria,RF_003TY1196,-117.7268167,34.3552
Elgaria,RF_003TY1196,-117.7268167,34.3552
Elgaria,RF_003TY1196,-117.7268167,34.3552
Elgaria,RF_003TY1196,-117.7268167,34.3552
Elgaria,RF_003TY1196,-117.7268167,34.3552
Elgaria,RF_003TY1170,-117.879,34.3025
Elgaria,RF_003TY1170,-117.879,34.3025
Elgaria,RF_003TY1170,-117.879,34.3025
Elgaria,RF_003TY1170,-117.879,34.3025
Elgaria,RF_003TY1170,-117.879,34.3025
Elgaria,RF_003TY1170,-117.879,34.3025
Elgaria,RF_003TY1824,-117.075,33.9678
Elgaria,RF_003TY1824,-117.075,33.9678
Elgaria,RF_003TY1824,-117.075,33.9678
Elgaria,RF_003TY1824,-117.075,33.9678
Elgaria,RF_003TY1824,-117.075,33.9678
Elgaria,RF_003TY1824,-117.075,33.9678
Elgaria,RF_003TY1819,-116.786,33.6326
Elgaria,RF_003TY1819,-116.786,33.6326
Elgaria,RF_003TY1819,-116.786,33.6326
Elgaria,RF_003TY1819,-116.786,33.6326
Elgaria,RF_003TY1819,-116.786,33.6326
Elgaria,RF_003TY1819,-116.786,33.6326
Elgaria,RF_003TY1791,-118.966,34.1464
Elgaria,RF_003TY1791,-118.966,34.1464
Elgaria,RF_003TY1791,-118.966,34.1464
Elgaria,RF_003TY1791,-118.966,34.1464
Elgaria,RF_003TY1791,-118.966,34.1464
Elgaria,RF_003TY1791,-118.966,34.1464
Elgaria,RF_003TY1244,-118.783,34.1016
Elgaria,RF_003TY1244,-118.783,34.1016
Elgaria,RF_003TY1244,-118.783,34.1016
Elgaria,RF_003TY1244,-118.783,34.1016
Elgaria,RF_003TY1244,-118.783,34.1016
Elgaria,RF_003TY1244,-118.783,34.1016
Elgaria,RF_003TY1250,-118.721,34.1096
Elgaria,RF_003TY1250,-118.721,34.1096
Elgaria,RF_003TY1250,-118.721,34.1096
Elgaria,RF_003TY1250,-118.721,34.1096
Elgaria,RF_003TY1250,-118.721,34.1096
Elgaria,RF_003TY1250,-118.721,34.1096
Elgaria,MVZ_243351,-121.986116,37.9567674
Elgaria,MVZ_243351,-121.986116,37.9567674
Elgaria,MVZ_243351,-121.986116,37.9567674
Elgaria,MVZ_243351,-121.986116,37.9567674
Elgaria,MVZ_243351,-121.986116,37.9567674
Elgaria,MVZ_243351,-121.986116,37.9567674
Elgaria,CAS_220770,-123.0011667,39.85869444
Elgaria,CAS_220770,-123.0011667,39.85869444
Elgaria,CAS_220770,-123.0011667,39.85869444
Elgaria,CAS_220770,-123.0011667,39.85869444
Elgaria,CAS_220770,-123.0011667,39.85869444
